w	lg_w	A	L	psi
1	0	1.940285	5.757310526	-14.03624347
1.258925412	0.1	1.961694444	5.852627243	-11.23179386
1.584893192	0.2	1.975573203	5.913862535	-8.963939181
1.995262315	0.3	1.984483175	5.952948424	-7.141759977
2.511886432	0.4	1.990167406	5.977792185	-5.68374754
3.16227766	0.5	1.993779145	5.99354098	-4.520227593
3.981071706	0.6	1.996068142	6.003507263	-3.59329387
5.011872336	0.7	1.997516464	6.00980735	-2.855635876
6.309573445	0.8	1.998431917	6.013787145	-2.269005377
7.943282347	0.9	1.999010177	6.016300103	-1.802682757
10	1	1.999375293	6.017886421	-1.432096184
12.58925412	1.1	1.999605768	6.018887618	-1.137641858
15.84893192	1.2	1.999751229	6.019519449	-0.903704875
19.95262315	1.3	1.999843026	6.019918155	-0.717860266
25.11886432	1.4	1.999900952	6.020169741	-0.570227689
31.6227766	1.5	1.999937503	6.020328488	-0.452953473
39.81071706	1.6	1.999960566	6.020428653	-0.359796498
50.11872336	1.7	1.999975119	6.020491855	-0.285797904
63.09573445	1.8	1.999984301	6.020531733	-0.227018039
79.43282347	1.9	1.999990094	6.020556894	-0.180327187
100	2	1.99999375	6.02057277	-0.14323915
